orig_smiles,noisy_smiles,molecular_formula,tries
CCC(CC)=NNc1ncnc2sc3c(c12)CCCC3,C1C[SH]234C5C6NN7C8CC9%10CNC(C(C9)N17)C52C3(C6%10)C84,C15H20N4S,1
N#Cc1nc(Cl)c(Cl)c(N)c1Cl,ClC1C(Cl)(Cl)C12C1=C3N4N2NC314,C6H2Cl3N3,1
COC(=O)c1c(F)ccc(NC(=O)CC#N)c1C,FOC12CC34OC5C6CC37CC3(NC14C5C32)ON67,C12H11FN2O3,1
CC(=O)N(C(C)=O)c1cc(/C=C/c2ccccc2)nc2ccccc12,CCC1OC2C3CC4C5N1C51C5OCC67C8=C9C%10(C84CC256)C32NC72C91%10,C21H18N2O2,2
CC1(n2cccc2)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,CC1C2=C3C4CC5NC6C7(O)OC8(OF)C4N(F)C1C14C8C8C(C27)C2C8C6(N51)C324,C21H19F2N3O3,1
Brc1ccccc1CN1CCN(Cc2c[nH]c3ccccc23)CC1,NC12CC3C4CC5C3C3C6=C7C1N6C1=CCCC(C1NBr)C52C7C43,C20H22BrN3,1
COc1ccccc1CN1Cc2cc(NC(=O)CC(C)(C)C)ccc2O[C@@H](C)C1=O,CCC1C2CN3C4CNC25C2CC67CC5(O)OC5C8C(=O)C1(CC56)OCC2C4C3C87,C24H30N2O4,1
O=C(Cc1ccc(C(F)(F)F)c2ncccc12)Nc1scc(Cl)c1-c1ncn[nH]1,FCC1(F)C2C3C24NC2(F)C56C7C8C9%10N=C=C4C4O[SH2]8%11N4NC4(Cl)C29N%11C75C36C14%10,C18H11ClF3N5OS,1
Cc1cc(N2C[C@@H]3OC(=O)N(CCN4CCCCC4)[C@@H]3C2)nc(C(C)C)n1,NC12OC34CC1CC3CNC1CNCOC3CC4C=C4CC(NC32)C4NC1,C20H31N5O2,4
CC(=O)N1CC(OCC(=O)N(C)c2ccccc2Oc2ccccc2)C1,OC1C2CCC3C4C5CC35C35OC6=CC78C(CC2(O)C7C(O)C(N63)N45)C18,C20H22N2O4,1
COC(=O)CNC(=O)COC(=O)Cc1ccc(Cl)cc1,CC1OOC2C1C13C4OOC(C(Cl)N5C=CC(O5)C41)C23,C13H14ClNO5,1
CCCc1cc(=O)oc2cc(OCC(=O)N3C[C@@H]4C[C@H](C3)Cn3c4cccc3=O)ccc12,C=C1C2C3C45C6C(O)C7(O)OC8(C)C9C=CC%10%11CC4C(C7C4CCC(O4)C9O)(N5%10)C16N2C38%11,C25H26N2O5,1
COc1cccc(Nc2ccnc(N3CCN(C)CC3)n2)c1,CC12C3C4CNC5C6CNC7C8C(OC51N8NC6)C1C73C12N4,C16H21N5O,1
CN=C(S)Nc1ccc(N2CCN(c3ccc(C(F)(F)F)cn3)CC2)nc1,C=NNN1CN(F)S2345C=C6CNCC78CC2C1C(F)CC3(F)C41N7C12C6C825,C17H19F3N6S,1
O=C(OCC(=O)N1CCN(c2ccccc2)CC1)c1ccc[n+]([O-])c1,OC1=C2NC34C5OC6COC78NC3(CCCC6C3=NCC5C32C7O8)C14,C18H19N3O4,1
CC(C)Oc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CCOC12C3N4C5C67OC48C34C53C5CCC9(C%10C6CN1C5(O)C%1097)C2C384,C20H18N2O3,2
O=C(Nc1ccccc1)c1ccccc1Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-],ON1CC2C34C5=NC36C3CCC(F)C1(OC(O)(F)O3)C41C3C4C7(F)C58C37C43C21C683,C20H13F3N2O4,1
CC(C)(C)C1=CC(=NO1)NC(=O)N(C)C,CCC1(O)C=NN2C3CC32C1(C)CNO,C10H17N3O2,1
CN(C)S(=O)(=O)c1ccc(-c2noc(-c3ccnn3C)n2)cc1,C1C2C3NC14C15NC67ONC8C9C(OC1C1C9C19N8N2[SH]694O7)C35,C14H15N5O3S,1
NC(=O)c1ccccc1N,C1NC1C12CC13OC31CN12,C7H8N2O,1
Cc1c(NC(=O)Nc2nccs2)c(=O)n(-c2ccccc2)n1C,CS12(O)(NN)N3C4C56C7N8C(C9OC3%10C3C%11C3C%103N8C53C%11C941)C762,C15H15N5O2S,1
Cc1ccn(Cc2cc(-c3ccc(Cl)cc3)no2)c(=O)c1C#N,NC1NC(Cl)C2C34C5=C6CC67NC6C18OC7C1=C7OC3(C156)C24C78,C17H12ClN3O2,2
CC1CCC/C(=N/Nc2nc(-c3ccc(F)cc3)cs2)C1,FC12C3C4NC56CC7C8CC79C4NC(N5)C4C35C(C45C61)[SH2]829,C16H18FN3S,1
O=C1C(Cc2ccccc2)NC(=S)N1c1ccccc1,NC1CC2C34CC5C67COC18N1C(S6)C56C25C7C85C3C146,C16H14N2OS,2
O=C(Nc1cc(Cl)ccc1Cl)c1ccc(OC(=O)c2ccco2)cc1,NC1C2=C3C4=C2C2(Cl)C56CC78C(OC9C7%10C(OOC1(Cl)C928)C5%10)C(O6)C34,C18H11Cl2NO4,2
O=C(NCc1ccc(-c2noc(CCC3CC3)n2)cc1)[C@H]1NCC[C@@H]1O,CC12NC1C13N2C12CC1CC45C6C7CC64C(C(C(N)O)NO1)C2(C)OC753,C19H24N4O3,1
CCO/C(O)=C1\C(N)=Nc2ccccc2N=C1CC,C1CC2C3NCC4NN2C2C5=C6OOC4C3(CC12)C65,C14H17N3O2,1
CCc1noc(-c2[nH]c3ccccc3c2C(=O)C(=O)N(C)C)c1C,C=C1C2C3C(C)C45NC67C8OC69C6C(N6CC17O)C9(OCN3C84)C25,C18H19N3O3,1
O=C1Cc2cc(Nc3ccccc3)ccc2Cc2ccccc21,C1=C2OC34CCCC5C3C3CC16NC21C27C8C69CC6C1(C582)C69C347,C21H17NO,1
O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1cc(-c2cc3ccccc3o2)nc2ccccc12,FC12OC34CC5C6NC78C9C3C63C6%10C%11NC6%12C6C1C1C%12%13C4C(F)(C673)C1%13C(F)(C1(Cl)C%10C518)C92O%11,C25H14ClF3N2O2,3
CC(C)NC(=O)c1cccc(NC(=O)Nc2ccc(-c3ncnc4[nH]ccc34)cc2)c1,NC1NC2C3=CC34C35CC6C(O)N7C8=C9C%10(C8C17)N(N)C1C%10(O)C(C7C8C(C73)N68)C25C914,C23H22N6O2,2
Cc1cc(-c2ccc(C(=O)N3CCCCCCC3)cc2)cnc1-n1cnnc1,NC12CC34C5CC36C3NCC7CCN8C9C5C6C85C6C1C71ON3CC92N6C5C14,C22H25N5O,1
COc1ccc(CN2CC[C@@](C)(c3cccc(C(N)=O)c3)[C@@H](C)C2)cc1,CC(O)C1OCC23C4NC5CCC67C8NCC4C(C86)C2C72C4C(C51)C3C42,C22H28N2O2,1
CN(C(=O)OC(C)(C)C)C1(C(=O)NCCc2cncn2C)CCC1,CCC(CN)C1CNC2C3NOCC1OC1=CC(C=C1)C(N3)C2O,C17H28N4O3,3
C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](C)c1,CCOC1OC23OCC45CCC6CC78CC(C9CC%10(O)COC%11(C24)N(C%10O7)C5C8%11C(OO9)OO3)C1O6,C24H29NO11,1
COP(=O)(CNC1(C(=O)O)CCCCC1)OC,COC(C)C(CO)NCC1[PH3]C(OO)C2=C1O2,C10H20NO5P,1
CCOC(=O)c1c[nH]c2c(ccc3c([N+](=O)[O-])cc[n+]([O-])c32)c1=O,CC1C2OOC13C14OC56C1N1N7OC7C27OC5(O)C2(C4C4C2C436)N17,C15H11N3O6,1
Cc1coc(C)c1C(=O)CC1(O)C(=O)N(CCc2ccccc2)c2ccccc21,CCC(C)C12C3CC4=C5C6=C7C(O)(C1OO)C18C9%10C4C(C3)CC91N1OC28C71C6C5%10,C24H23NO4,1
Cc1cnc(CN2C[C@@H](C)[C@H](c3nc4c(cnn4C4CCCC4)c(=O)[nH]3)C2)cn1,C1=C2CNC3C4NC5C6NC7C8C37NNC3CCCC28C27CC(NN52)C37C14CO6,C21H27N7O,2
C/C=C\CN1Cc2cccc3[nH]c(=O)n(c23)C[C@@H]1C,C1CC2CN(C1)C1CC34OCC5C(=C23)N2C(N1)C2C54,C15H19N3O,1
COC(=O)C1=C(c2ccc(OC)c(OC)c2)C[C@@H]2CC[C@H]1N2C(=O)NC(C)C,CC1C2OC(O)CCCOC3C45C6OC(O)C37C3CC6C4C37C53NC2C(N)C13,C21H28N2O5,2
CCN1CCC[C@H]1CNC(=O)c1c(O)c(OC)cc(Cl)c1OC,C=CC1C(Cl)C(OC)C(O)C2C3NCC2(C)ON2OC4C1C4C32,C16H23ClN2O4,1
O=C(OCCF)[C@@H]1C[C@@H]2C(CC[C@@H]3c4ccc(O)cc4CC[C@H]32)[C@H]1O,CCC(F)C12CC3OOC4C5C6=C7CCC(OC1C45CC7(CC)O2)C63,C20H25FO4,2
Cc1cc2c(c(O)c1O)[C@@H](C)CC[C@@H]2C(C)C,CCC1C=CC2CC3C1C2(CCOC)C31CO1,C15H22O2,1
N=C1S/C(=C\c2n[nH]nc2-c2ccc(F)cc2)C(=O)N1c1nccs1,FN1C=NC2N=C3C4CC35C36C=C3C(N41)C13C4C78C26OS1526N1N3[SH]172C486,C15H9FN6OS2,2
CN(C(=O)CCCOc1ccc2c(c1)C(=O)NCC(=O)N2)C1CCCCC1,CC1(NO)CN2C=CC3C4C=CC56C7(O)CCC35C26C(O)C(NC1O)C47C,C20H27N3O4,1
COc1cc2c(cc1OC)CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)cc(Cl)c1)CC2,CCC12C3OC14C21OC2C5C6C1N1C7OCC68C6CC9C6(Cl)C6C5C27C2(N(C6(O)Cl)C92C)C38C14C,C27H26Cl2N2O4,1
CCCCC(CC)(C(=O)OCC)C(=O)OCC,COOC12OCC1CCCCC(O)C(C)C2C,C13H24O4,2
C=C[C@H]1CC[C@@H](C#N)N1C(=O)[C@@H](N)C1CCCC1,NC1NC2C3(O)CC4CCNC4C4C1C1CC42C13,C14H21N3O,1
COC(=O)CC(NC(=O)OCc1ccccc1)C(C(C)=O)C(=O)OCc1ccccc1,CC1NC2(O)CC3COC4C56OC(O2)C27C8C1C1(O)C9CCC4(C98)C32C(O)(O)C5=C6C17,C23H25NO7,1
Nc1ncnc(C#Cc2cncc(N3CCOCC3)c2)c1-c1ccc(Cl)cc1,NC1N2CC34NC5=C6C78CCC9(C%10=C7C67C6C57C(C%10C639)C23CNC1(Cl)C83)N4O,C21H18ClN5O,1
CS(=O)(=O)/C(C#N)=C/c1cccn1S(=O)(=O)c1ccc(C#N)cc1,C1C2OC34SC15C16CC78C9C%10OC%11N9NC71C2SC36ONC%11(O%10)C548,C15H11N3O4S2,2
O=C(NC=1C=C(NCCOCCOC)C(OCCOC)=CC1N=NC2=C(Cl)C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])C,CC12C3NC(N)CC4C56CC17CC(CO)N1C(C7O)C37C3N8NC42C5C1(ON87)C3(OCl)C(=O)C(O)(O)OO6,C22H27ClN6O9,1
CN(C/C=C/C1CCCC1)Cc1cccc2cc[nH]c12,C1CC2C3C4CC5C6CC7C8CC6C1CC5C3N7C8N24,C18H24N2,2
CC(c1ccc(Cl)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,OC(O)C1C(CCl)OC2C3C4C25C2CC24C13C5O,C13H15ClO4,2
CCOc1ccc(CCNC(=O)CCN2N=C(c3ccc(OC)cc3)CCC2=O)cc1OCC,CC1CC23CC(N)COC4NC25C(CN1)C12OC(C=C6C7C8C9(CC(C5(C)CO)C67C489)O1)C3O2,C26H33N3O5,1
COc1ccc(CN2C(=O)N[C@@H](CCC(=O)N3CCOCC3)C2=O)cc1,CC1(O)C2NC34C5C(OO)C67C5C5(O)C(C(O)CC16C)N3C7C41NC2C51,C18H23N3O5,1
COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CC[N+]2(C)C)cc1OC,CCC(OC)C1C(C)C(C)C2C3=CC4C5CC6(O)C3(C)O[N+]3=CC2(OC45)C136,C22H30NO4+,2
O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)c1ccccc1F,OC12CC34CC=C5C6(O)C78OC9C%10OCC%11%12OC[SH]56(ON1OOC1CC37C9C14)C%10C(OF)C2NC%11C%128,C23H25FN2O9S,2
Clc1cnc2nc1Nc1cccc(c1)CCc1cc(ccc1OCCN1CCCC1)N2,NCC12N3C4C5CN6CC7C89CC%10(C43)N3C4C%11CC7(CC8C4(Cl)C3C%103C5C3N61)C2(O)C%119,C24H26ClN5O,1
O=C(c1cccc2ccccc12)c1cn(CCCCCBr)c2ccccc12,BrC12C3C4CC5C6=C7C8CC1C19C%10C%11C5CC4C4(C3C%11C6)C(C82)C71C9ON%104,C24H22BrNO,2
COC(=O)C(c1ccccc1)N1CCN(c2ccc(NC(=O)c3ccccc3-c3ccncc3)cc2)CC1,CC1NC23CC45CC67OC8C2NC2C9CC9%10N=CC9%11CC%12C%13%14C8C8C(C6=C%10C8(C14C)C(O)(C%125C2C9%13)C3%14O)N7%11,C31H30N4O3,1
C[NH2+][C@@H](C)C(=O)[O-],OC1CCNCO1,C4H9NO2,2
CC(=O)Nc1nc(C)c(-c2cnc(Oc3cccnc3)o2)s1,NC1OCC2N3C45C6C78C9NC(ON74)OS247%10C2C8(C124)C37C9C65%10,C14H12N4O3S,1
CCSC1=NC2(CCN(C(=O)NC3CCCCC3)CC2)N=C1c1ccc(C)c(C)c1,CCC12C3C4CC56CC78CN3C3C9CC7CNC7(N)CC(C%10(CC7C%1051)N4)[SH2]62C93CO8,C24H34N4OS,1
CC1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3Cl)cc2O1,OOCC12CC34CC56CC7(Cl)OC58CC5C1C19OCCC3CC3%10C(C81)C46C3(C5%10)C91C7OOC21,C26H25ClO6,2
CC(C)(C)c1ccc(Cn2nc(-c3ccc(Cl)cc3)cc2C(=O)NN[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,CN1C2(CCl)C(O)CC13N1C4CC5(O)C6OC7CC8C9C%10C%11NNC2C(C8C%116)(C91O)C3(C4)C51OC%101C7,C26H31ClN4O5,1
CC1=C[C@@H]2[C@@H](C(C)(C)O)CC=C(C(=O)O)[C@@H]2CC1,CC(C)CC12CC(O)C3=CCC1(CC3)C1OC12O,C15H22O3,2
COCCCNC(=O)C(=O)NCC(c1ccco1)N1CCN(c2ccc(OC)cc2)CC1,CC1CC2C3CC4C56OC78CCOC(CN)C(O1)C7(CCON)CC(O)C5C1=NC48C36N12,C23H32N4O5,1
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,NC1OC2COC3C4C5CC6CC(O)(Cl)CCC7ON8C(CCO)C62CCC7(S)C3C4C5N18,C23H34ClN3O5S,1
CCC(C)C=C(C)C=CC1=CC2=C(Cl)C(=O)C(C)(OC(C)=O)C(=O)C2=CN1CCO,CC12CC3C4OCC56CC1(O)C1COC7C5C5(NO5)C5(C7Cl)C(C)(C)C5(C1C34)C6O2,C23H28ClNO5,1
[O-]C(=O)CCCSSCCCC(=O)[O-],[O-]CC([O-])CC12OC3=C4C1C=[SH2](O)[SH2]342,C8H12O4S2-2,2
C[C@H](NS(C)(=O)=O)c1ccc(F)cc1F,C=C1SC(F)C(F)C2C(O)OC3CN1C32,C9H11F2NO2S,2
CCCCCCc1cc2cc(C(=O)Nc3ccccc3F)c(=N)oc2cc1O,CC12OC3C4C(CC1O)CC15CC67C89OC6%10C(CC3C73C1C4%103)NC8C(F)C2N59,C22H23FN2O3,3
NS(=O)(=O)c1ccc(-n2c(-c3ccc(Cl)cc3)n[nH]c2=S)cc1,ClC12OC3CC45NC67C8N6N6C9CC%10%11N4C4(S3)C1C94C2%10C6O[SH]857%11,C14H11ClN4O2S2,1
CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,OCC1OC2(F)C3COC24C32C3C5CNCC1(CN5)C324,C14H17FN2O3,1
CC1(C)C=Cc2c(ccc(-c3cc4ccc(O)cc4o3)c2O)O1,C1OC2C3C4C25C2OC67C5CC58OC(C2C346)C52CC82C72OCC12,C19H16O4,1
COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3-c3[nH]c4c(Br)cccc4c3[C@H]21,COC1C2C3C4C5C6C57C5CC68C6C9CC%10CC%11(C(O)C3C%11(C4C%10CBr)C7N)C28C5C916,C27H30BrNO2,1
O=C(Nc1cccc(Cl)c1)O[C@H]1CO[C@@H]2[C@H](O[N+](=O)[O-])CO[C@H]12,NC1(O)C2OC3N4OC=COOC56C(=C2CC45)C31C(OO)C6Cl,C13H13ClN2O7,1
N#Cc1nc2ccccc2n1CC(=O)c1ccc2c(c1)OCCO2,C1C2C3C45OC67COC6C36N7C3=C4N=C4OC67CC4C3N1C1C5C217,C18H13N3O3,1
CC(C)(C)NCC(O)COc1ccc(OCCOCCc2ccccc2)cc1,CCC1(C)CCOC23C4OCC5C6=C4C4(C(CC(C)C24)N(O)CC1C5OC)C63,C23H33NO4,1
COc1ccc(CN(CC(=O)NCc2ccccc2)C(=O)c2csnn2)cc1,C1C2OC3C4C56C7CC48CC49NC%10%11C%12OC1(O4)N3C13C7C(C5%10)N([SH3]1C9N%12%11)C28C63,C20H20N4O3S,1
COC(=O)c1n[nH]cc1-c1cc(-c2cc3ccccn3c2)nc(N)c1C#N,C1ON2C3OCC45C67NC89NC4%10C4%11CC%12NC%13N3C18C4C2C12C5(N%116)C1(C%12%13%10)C972,C19H14N6O2,1
COC(=O)c1ccc(OC)c(Cn2c(=O)n(C)c(=O)c3sccc32)c1,CC12C3C(O)C4SCCC(O)N5C(O)=C6OOC78CC67C16C51N4C81C326,C17H16N2O5S,1
C=CB1OC(C)CC(C)(C)O1,CCC1OCCC2OCBC12,C8H15BO2,1
N#Cc1nc(-c2cccs2)oc1NCc1ccccc1Cl,ClCCNC1SOC2C3=C4C5=C6N7C1C1=NC18C2C(C437)C568,C15H10ClN3OS,2
COc1ccc(-c2nc3cc(C#N)ccc3[nH]2)cc1,CC1C2C3=C4C5C6C7=C3N1C1C73C7N3C1(OCN65)C427,C15H11N3O,1
Cc1ccc(NS(C)(=O)=O)c(O)c1,C1CC2=C3OSOOC3(C1)CNC2,C8H11NO3S,1
COc1ccc(C2=NN=C3C(F)=Cc4c(n(C5CC5)cc(C(=O)O)c4=O)N3C2)cc1,ON1C2COC13C1ONC45C6=C7C8C9OC4C(C1NF)C14CC81C71C57C6NC93C7C241,C21H17FN4O4,1
Oc1ccc2c(c1)OC[C@H](c1ccccc1)[C@@H]2c1ccc(SCCN2CCCC2)cc1,C1CC2CC3C4C5C67OC6CC6C89C(NC%10%11C%12%13C%14CC4(CC%14C7C%12[SH2]36%10)C8%13%11)C3(C1)OC9C253,C27H29NO2S,1
CCCCC/C=C\C[C@@]1(O)C=C(Cl)C(=O)/C1=C\C=C\CCCC(=O)OC,CCC12C3CCC3C34C5CCC(C5O)C(C1OCl)C3(O)C1COCC2C14,C21H29ClO4,2
CC12CC3CC(C)(C1)CC(C(=O)NC1=NCCS1)(C3)C2,CC1C2OCCSCCNC3C=CC4C2C3C4C2CN12,C16H24N2OS,2
NC(N)=NC[C@@H](N)C(=O)O,CCC1NOON=NN1C,C4H10N4O2,3
CCCNc1nc2scnn2c(=O)c1[N+](=O)[O-],OC1C2C3C4N5SN6N7OC16NC2C47C(O)N35,C8H9N5O3S,1
COc1ccc(Cc2nc(-c3sccc3Cl)n(CCO)n2)cc1,CC12CCONC3C4(CC5NC3(S5)C35C(=C3C15)C4Cl)C1N3OC132,C16H16ClN3O2S,1
CCO/N=C/Nc1cc(Cl)c(OC)c(Cl)c1,ClOC1NCC(Cl)C1C12CC3C=C(N1)C3O2,C10H12Cl2N2O2,1
CCc1n[nH]c(=O)n1CCCCCCCCn1c(CC)n[nH]c1=O,CC12CNNN3CC4C5C=CC(CC4C31C5)N(O)N(CN)CC2O,C16H28N6O2,1
C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc([N+](=O)[O-])cc1,CN1C(O)C2(S)C3CC4C25C1C31C2N3C6N7C8=S49%10C7CC8(CC4C78NC9C79N7C(O)(C28O)C69C475)N1N3%10,C24H23N7O3S2,1
N#Cc1ccc(/C=C/c2nc3ccc(OCc4cn(-c5cccc(Cl)c5)nn4)cc3c(=O)n2Cc2ccccc2)cc1,ClN1CC23C45NC67C8C9C%10C2%11NCC2(OCCO4)C4=C%12C%13(C42)C2C14N1C%14=CC%15%16CC3(C5C%14%13C%15N6%11)C3C9(C%16NC45C38C%1025)C%1217,C33H23ClN6O2,1
O=C(CN1CCCC1)c1ccccc1,CC1CC23C4OC25C2C(C4C)C(N1)C235,C12H15NO,2
COc1ccc(C2CNC(=O)NC2)cc1O[C@@H]1C[C@H]2CC[C@@H]1C2,NC(CO)C1C2CC3CC14COC15CC(O3)N2C2C3(CC4C213)C5,C18H24N2O3,1
Oc1ccc(-c2[nH]c(-c3ccccc3)cc2-c2ccncc2)cc1,C1=C2C3=C4CC3C3C5CNC6=C4C64C16C3C13OC7C1C2N(C5)C6C734,C21H16N2O,1
C=CCN(CC=C)C(=O)c1c(CC)nc2n1CCC(=O)N2c1c(C)cc(C)cc1C,CN1CC2C(O)C34CC1(C)NC15C(O)C36NC3C7CCC18C31C5CC43CCN3C71C268,C24H30N4O2,1
Oc1ccc(-c2csc3ccccc23)c(O)c1,OCC12C3C4=C5C6C7(O)C=C8C3C6(C4C871)C52S,C14H10O2S,1
CC(C)CC(=O)C(=O)N1CCCCC1C(=O)OCCCc1cccnc1,CC1C2C3CCC4(CN)CC56COCC7OC2(O)C(C5)C32OC7C14C2N6,C20H28N2O4,2
O=c1ccccn1CC1CCN(Cc2ccccc2)CC1,CC1CC2NC3C4CC15OC1C6CC7(C8CCC57C24C68)N31,C18H22N2O,1
Nc1c(C2CCCCC2)n[nH]c1O,ON1CNC2CC34CN(CC3C1)C24,C9H15N3O,1
CC(=O)N1CCc2cc(S(=O)(=O)N3CCC(CC(=O)N4CCOCC4)CC3)ccc21,OC12CC(CN1)CC1OCC2CC2=CC3CC4N5C(C2N3)C42OCOC15CSCO2,C21H29N3O5S,1
Cc1nc2sc(C(=O)NCc3ccncn3)c(N)c2c(C)c1Cl,SCC12NC34C=C5C=C6CC17N1C(N3)NC53C(OC627)C4NC13Cl,C15H14ClN5OS,2
