smiles,original_smiles,molecular_formula,num_atoms,fragment_formula
N#Cn1[nH]n1CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H9N5O2,25,CH2N4
C=NNON(C(C)=O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H11N3O3,26,CH4N2O
O=C(Cc1ccoc1Cl)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C12H10ClNO3,27,C4H3ClO
CCCOc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C11H15NO3,30,C3H8O
CC(=O)Nc1ccc(O)cc1C1OC1C(Cl)Cl,CC(=O)Nc1ccc(O)cc1,C11H11Cl2NO3,28,C3H4Cl2O
CC(=O)Nc1ccc(O)c(C2(O)Cn3[nH]n32)c1,CC(=O)Nc1ccc(O)cc1,C10H12N4O3,29,C2H5N3O
C=C(F)C(F)(F)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C11H10F3NO2,27,C3H3F3
O=C(CC12C=C(C1)N2O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C12H12N2O3,29,C4H5NO
CC(=O)Nc1ccc(O)cc1SC1OCCS1,CC(=O)Nc1ccc(O)cc1,C11H13NO3S2,30,C3H6OS2
CC(=O)Nc1ccc(O)c(N2N=N2)c1,CC(=O)Nc1ccc(O)cc1,C8H8N4O2,22,HN3
CC(=O)N(c1ccc(O)cc1)N1N2C3SN2N31,CC(=O)Nc1ccc(O)cc1,C9H9N5O2S,26,CH2N4S
C=C(c1cc(O)ccc1NC(C)=O)C(O)O[O-],CC(=O)Nc1ccc(O)cc1,C11H12NO5-,29,C3H5O3-
CCC(C)(CBr)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C13H18BrNO2,35,C5H11Br
CC(=O)Nc1ccc(ON2COC2)cc1,CC(=O)Nc1ccc(O)cc1,C10H12N2O3,27,C2H5NO
CC(=O)Nc1ccc(O[SH]234C5=C2[SH2]32C5N24)cc1,CC(=O)Nc1ccc(O)cc1,C11H12N2O2S2,29,C3H5NS2
BC(OCO)N(C(C)=O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H14BNO4,30,C2H7BO2
CSCN(C(C)=O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H13NO2S,27,C2H6S
CC(=O)Nc1ccc(O)c(NC=NOC=N)c1,CC(=O)Nc1ccc(O)cc1,C10H12N4O3,29,C2H5N3O
CC(=O)Nc1ccc(O)c(C2(F)NOC2F)c1,CC(=O)Nc1ccc(O)cc1,C10H10F2N2O3,27,C2H3F2NO
CC(=O)Nc1ccc(O)c(C(Cl)C(=O)Cl)c1,CC(=O)Nc1ccc(O)cc1,C10H9Cl2NO3,25,C2H2Cl2O
CC(=O)Nc1ccc(O)c(C(F)Cl)c1,CC(=O)Nc1ccc(O)cc1,C9H9ClFNO2,23,CH2ClF
CC(=O)Nc1ccc(O)c(C(F)(CF)NF)c1,CC(=O)Nc1ccc(O)cc1,C10H11F3N2O2,28,C2H4F3N
CC(=O)Nc1ccc(O)cc1C=NC(O)(Cl)Cl,CC(=O)Nc1ccc(O)cc1,C10H10Cl2N2O3,27,C2H3Cl2NO
CC(=O)Nc1ccc(O)cc1C(C)I,CC(=O)Nc1ccc(O)cc1,C10H12INO2,26,C2H5I
O=C(CC#CI)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H8INO2,22,C2HI
CC(=O)Nc1ccc(O)cc1CC=O,CC(=O)Nc1ccc(O)cc1,C10H11NO3,25,C2H4O
CC(=O)N(c1ccc(O)cc1)C1C=C2CCC21,CC(=O)Nc1ccc(O)cc1,C14H15NO2,32,C6H8
CC(=O)Nc1ccc(O)cc1C(CF)CCO,CC(=O)Nc1ccc(O)cc1,C12H16FNO3,33,C4H9FO
CC(=O)Nc1ccc(O)c(C(C)N(C)N)c1,CC(=O)Nc1ccc(O)cc1,C11H17N3O2,33,C3H10N2
CC(=O)Nc1ccc(O)cc1C1OOC1Cl,CC(=O)Nc1ccc(O)cc1,C10H10ClNO4,26,C2H3ClO2
CC(=O)Nc1ccc(O)cc1C(Cl)(Cl)OCCl,CC(=O)Nc1ccc(O)cc1,C10H10Cl3NO3,27,C2H3Cl3O
CC(=O)Nc1ccc(O)cc1C=NOO,CC(=O)Nc1ccc(O)cc1,C9H10N2O4,25,CH3NO2
CC(=O)Nc1ccc(OC(CO)C2CO2)cc1,CC(=O)Nc1ccc(O)cc1,C12H15NO4,32,C4H8O2
CC(=O)Nc1ccc(O)c(SOC(F)OF)c1,CC(=O)Nc1ccc(O)cc1,C9H9F2NO4S,26,CH2F2O2S
CC(=O)Nc1ccc(O)cc1N1C2C3=NN2C31,CC(=O)Nc1ccc(O)cc1,C11H10N4O2,27,C3H3N3
CC(=O)N(c1ccc(O)cc1)C1NCOOO1,CC(=O)Nc1ccc(O)cc1,C10H12N2O5,29,C2H5NO3
O=C(CC(O)CBr)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H12BrNO3,27,C2H5BrO
CC(=O)Nc1ccc(O)c(SC(C)C)c1,CC(=O)Nc1ccc(O)cc1,C11H15NO2S,30,C3H8S
CC(=O)Nc1ccc(O)c(C(Cl)=C2N=CS2)c1,CC(=O)Nc1ccc(O)cc1,C11H9ClN2O2S,26,C3H2ClNS
O=C(COC1=CC=C1Br)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C12H10BrNO3,27,C4H3BrO
CC(=O)Nc1ccc(O)c(C[PH2]2OCO2)c1,CC(=O)Nc1ccc(O)cc1,C10H14NO4P,30,C2H7O2P
CC(=O)N(c1ccc(O)cc1)C1CC2=NN21,CC(=O)Nc1ccc(O)cc1,C11H11N3O2,27,C3H4N2
C=COc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11NO2,24,C2H4
CC(=O)Nc1ccc(O)cc1N=O,CC(=O)Nc1ccc(O)cc1,C8H8N2O3,21,HNO
CSCCC(S)c1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C12H17NO2S2,34,C4H10S2
CC(=O)Nc1ccc(O)c(P(Cl)Cl)c1,CC(=O)Nc1ccc(O)cc1,C8H8Cl2NO2P,22,HCl2P
CC(=O)N(c1ccc(O)cc1)[PH]1([O-])OOO1,CC(=O)Nc1ccc(O)cc1,C8H9NO6P-,25,H2O4P-
O=C(CC1OO1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H9NO4,23,CH2O2
CC(=O)Nc1ccc(O)c(C2(C)CCON2)c1,CC(=O)Nc1ccc(O)cc1,C12H16N2O3,33,C4H9NO
CC(=O)Nc1ccc(O)cc1[N+]#N,CC(=O)Nc1ccc(O)cc1,C8H8N3O2+,21,HN2+
CC(=O)N(c1ccc(O)cc1)C1(Cl)OO1,CC(=O)Nc1ccc(O)cc1,C9H8ClNO4,23,CHClO2
CC(=O)Nc1ccc(O)cc1C1C[PH2](CO)O1,CC(=O)Nc1ccc(O)cc1,C11H16NO4P,33,C3H9O2P
CCc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C10H13NO2,26,C2H6
CC(=O)N(c1ccc(O)cc1)C1Nn2n3n1n23,CC(=O)Nc1ccc(O)cc1,C9H10N6O2,27,CH3N5
CC(=O)Nc1ccc(OC2(O)C3CC32O)cc1,CC(=O)Nc1ccc(O)cc1,C12H13NO4,30,C4H6O2
CC(=O)Nc1ccc(OC(N)O)cc1,CC(=O)Nc1ccc(O)cc1,C9H12N2O3,26,CH5NO
CC(=O)Nc1ccc(O)cc1C1CC2C=CC21,CC(=O)Nc1ccc(O)cc1,C14H15NO2,32,C6H8
CC(=O)Nc1ccc(O)cc1O[PH3]OC(=O)O,CC(=O)Nc1ccc(O)cc1,C9H12NO6P,29,CH5O4P
BNOC(O)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H13BN2O4,29,CH6BNO2
CC(=O)Nc1ccc(O[SH]23=C[SH]24=[SH]3=C=C4)cc1,CC(=O)Nc1ccc(O)cc1,C11H13NO2S3,30,C3H6S3
CC(=O)N(C=S(C)(=O)O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H13NO4S,29,C2H6O2S
CC(=O)Nc1ccc(O[SH3]2C=CSC=N2)cc1,CC(=O)Nc1ccc(O)cc1,C11H14N2O2S2,31,C3H7NS2
CC(=O)Nc1ccc(O)c(C2=COC23CS3)c1,CC(=O)Nc1ccc(O)cc1,C12H11NO3S,28,C4H4OS
O=C(COC12SC13ON23)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H8N2O4S,25,C2HNO2S
O=C(Cn1ccnc1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H11N3O2,27,C3H4N2
O=C(F)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H8FNO3,22,CHFO
C=NNC=CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C12H15N3O2,32,C4H8N2
O=C(CN1OCO1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H10N2O4,25,CH3NO2
O=C(CC1=CC1I)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H10INO2,25,C3H3I
CC(=O)Nc1ccc(O)cc1C(C)(Cl)CO,CC(=O)Nc1ccc(O)cc1,C11H14ClNO3,30,C3H7ClO
O=C(CC1(Cl)OC1Cl)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H9Cl2NO3,25,C2H2Cl2O
CC(=O)Nc1ccc(OC(C)SC(O)S)cc1,CC(=O)Nc1ccc(O)cc1,C11H15NO3S2,32,C3H8OS2
CC(=O)N([O-])N(C(C)=O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11N2O4-,27,C2H4NO2-
CC(=O)Nc1ccc(O)c(CC2N=C[SH3]2C)c1,CC(=O)Nc1ccc(O)cc1,C12H18N2O2S,35,C4H11NS
CC(=O)N(SOO[O-])c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C8H8NO5S-,23,HO3S-
O=C(CC1NNN1CS)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H14N4O2S,31,C2H7N3S
CC(=O)Nc1ccc(OCC(Cl)C[SiH2]Cl)cc1,CC(=O)Nc1ccc(O)cc1,C11H15Cl2NO2Si,32,C3H8Cl2Si
CC(=O)Nc1ccc(O)cc1OC=COCl,CC(=O)Nc1ccc(O)cc1,C10H10ClNO4,26,C2H3ClO2
CC(=O)N(OC1=C([O-])O1)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H8NO5-,24,C2HO3-
CC(=O)Nc1ccc(O)cc1C(Cl)CCCl,CC(=O)Nc1ccc(O)cc1,C11H13Cl2NO2,29,C3H6Cl2
CC(=O)Nc1ccc(O)cc1C=CC1=CO1,CC(=O)Nc1ccc(O)cc1,C12H11NO3,27,C4H4O
CC(=O)Nc1ccc(OC2CSC2)cc1,CC(=O)Nc1ccc(O)cc1,C11H13NO2S,28,C3H6S
CN(C=NC=N)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H14N4O2,31,C3H7N3
CC(=O)Nc1ccc(OC(Cl)CCl)cc1,CC(=O)Nc1ccc(O)cc1,C10H11Cl2NO2,26,C2H4Cl2
CC(=O)N(c1ccc(O)cc1)C(Cl)C(Cl)Cl,CC(=O)Nc1ccc(O)cc1,C10H10Cl3NO2,26,C2H3Cl3
CC(=O)Nc1ccc(O)cc1C1NC(O)C1[O-],CC(=O)Nc1ccc(O)cc1,C11H13N2O4-,30,C3H6NO2-
CC(=O)Nc1ccc(OC(C)(O)Cl)cc1,CC(=O)Nc1ccc(O)cc1,C10H12ClNO3,27,C2H5ClO
CCCSc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C11H15NO2S,30,C3H8S
O=C(CC12CC1C[SH3]2O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C12H17NO3S,34,C4H10OS
CC(=O)Nc1ccc(O)cc1C(S)OSO,CC(=O)Nc1ccc(O)cc1,C9H11NO4S2,27,CH4O2S2
CC(=O)Nc1ccc(ON(C=O)CBr)cc1,CC(=O)Nc1ccc(O)cc1,C10H11BrN2O3,27,C2H4BrNO
O=C(Cc1ncon1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H9N3O3,25,C2H2N2O
O=C(CC1CO1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11NO3,25,C2H4O
CC(=O)Nc1ccc(O)c(Cc2cncs2)c1,CC(=O)Nc1ccc(O)cc1,C12H12N2O2S,29,C4H5NS
CC(=O)Nc1ccc(O)c(C(Cl)=CCl)c1,CC(=O)Nc1ccc(O)cc1,C10H9Cl2NO2,24,C2H2Cl2
CC(=O)Nc1ccc(O)cc1OO[PH](=O)[O-],CC(=O)Nc1ccc(O)cc1,C8H9NO6P-,25,H2O4P-
CC(=O)Nc1ccc(O)c([NH+]2CNN2)c1,CC(=O)Nc1ccc(O)cc1,C9H13N4O2+,28,CH6N3+
CC(=O)Nc1ccc(O)cc1C(N)C1OC1F,CC(=O)Nc1ccc(O)cc1,C11H13FN2O3,30,C3H6FNO
CC(=O)Nc1ccc(O)c(C2(Cl)OO2)c1,CC(=O)Nc1ccc(O)cc1,C9H8ClNO4,23,CHClO2
CC(=O)Nc1ccc(O[SH3](C)CC2=CS2)cc1,CC(=O)Nc1ccc(O)cc1,C12H17NO2S2,34,C4H10S2
CC(=O)N(c1ccc(O)cc1)C(N)C(S)N=O,CC(=O)Nc1ccc(O)cc1,C10H13N3O3S,30,C2H6N2OS
C=C(CC(=O)Nc1ccc(O)cc1)NC,CC(=O)Nc1ccc(O)cc1,C11H14N2O2,29,C3H7N
CC(O)NCC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H14N2O3,29,C2H7NO
CC(=O)Nc1ccc(O)cc1NN,CC(=O)Nc1ccc(O)cc1,C8H11N3O2,24,H4N2
O=C(CC1(F)COCO1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H12FNO4,29,C3H5FO2
CC(=O)N(c1ccc(O)cc1)C(F)C=O,CC(=O)Nc1ccc(O)cc1,C10H10FNO3,25,C2H3FO
O=C(CSC1CS1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11NO2S2,26,C2H4S2
C=NSC=CSCC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H12N2O2S2,29,C3H5NS2
C=CNN(O)N(C(C)=O)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H13N3O3,29,C2H6N2O
O=CC(Cl)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H10ClNO3,25,C2H3ClO
CC(=O)Nc1ccc(O)cc1C1([O-])OC1=O,CC(=O)Nc1ccc(O)cc1,C10H8NO5-,24,C2HO3-
CC(=O)N(c1ccc(O)cc1)C(S)CO,CC(=O)Nc1ccc(O)cc1,C10H13NO3S,28,C2H6OS
CC(=O)Nc1ccc(O)cc1C12C=C(O1)O2,CC(=O)Nc1ccc(O)cc1,C11H9NO4,25,C3H2O2
CC(=O)Nc1ccc(O)cc1CC(O)C(C)O,CC(=O)Nc1ccc(O)cc1,C12H17NO4,34,C4H10O2
CC(=O)N(C(=O)[O-])c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H8NO4-,22,CHO2-
CC(=O)Nc1ccc(O)c(OC(C)Br)c1,CC(=O)Nc1ccc(O)cc1,C10H12BrNO3,27,C2H5BrO
CC(=O)Nc1ccc(OC(=O)[O-])cc1,CC(=O)Nc1ccc(O)cc1,C9H8NO4-,22,CHO2-
CCC[NH2+]Cc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C12H19N2O2+,35,C4H12N+
CC(=O)Nc1ccc(O)c(CCC(F)F)c1,CC(=O)Nc1ccc(O)cc1,C11H13F2NO2,29,C3H6F2
CC(=O)Nc1ccc(O)c(CC=O)c1,CC(=O)Nc1ccc(O)cc1,C10H11NO3,25,C2H4O
CC(=O)Nc1ccc(OC(C)(O)Br)cc1,CC(=O)Nc1ccc(O)cc1,C10H12BrNO3,27,C2H5BrO
CC(=O)Nc1ccc(OPOOO)cc1,CC(=O)Nc1ccc(O)cc1,C8H10NO5P,25,H3O3P
CSOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C9H11NO2S,24,CH4S
CC(=O)Nc1ccc(O)cc1N1C2C(Br)C21O,CC(=O)Nc1ccc(O)cc1,C11H11BrN2O3,28,C3H4BrNO
C#CCSN(O)c1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C11H12N2O3S,29,C3H5NOS
CC(=O)Nc1ccc(OC=N)cc1,CC(=O)Nc1ccc(O)cc1,C9H10N2O2,23,CH3N
O=C(COSOO[Na])Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C8H8NNaO5S,24,HNaO3S
CC(=O)Nc1ccc(O)c(C2C3SC24OC34)c1,CC(=O)Nc1ccc(O)cc1,C12H11NO3S,28,C4H4OS
C=C(OC)c1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C11H13NO3,28,C3H6O
O=C(CPOCO)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H12NO4P,27,CH5O2P
CC(=O)Nc1ccc(O)cc1C([O-])[PH](=O)O[O-],CC(=O)Nc1ccc(O)cc1,C9H10NO6P-2,27,CH3O4P-2
CC(=O)N(CF)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H10FNO2,23,CH3F
CC(=O)N(c1ccc(O)cc1)C(N)[NH+]=N,CC(=O)Nc1ccc(O)cc1,C9H13N4O2+,28,CH6N3+
COC(C)(Cl)Nc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C11H15ClN2O3,32,C3H8ClNO
C=COc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11NO2,24,C2H4
C=C(O)N1C=C1Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C12H12N2O3,29,C4H5NO
CC(=O)Nc1ccc(ON2N=N2)cc1,CC(=O)Nc1ccc(O)cc1,C8H8N4O2,22,HN3
CC(=O)Nc1ccc(O)c(C2CC3OC3C2)c1,CC(=O)Nc1ccc(O)cc1,C13H15NO3,32,C5H8O
CC(=O)Nc1ccc(O)c(C2([O-])CO2)c1,CC(=O)Nc1ccc(O)cc1,C10H10NO4-,25,C2H3O2-
CC(=O)N(CCI)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H12INO2,26,C2H5I
CC(=O)N(c1ccc(O)cc1)C1N2CC12N,CC(=O)Nc1ccc(O)cc1,C11H13N3O2,29,C3H6N2
CC(=O)N(c1ccc(O)cc1)C1C#CO1,CC(=O)Nc1ccc(O)cc1,C11H9NO3,24,C3H2O
CC(=O)Nc1ccc(O)cc1C1=CCO1,CC(=O)Nc1ccc(O)cc1,C11H11NO3,26,C3H4O
CC(=O)Nc1ccc(OC2=C3CC3(Br)O2)cc1,CC(=O)Nc1ccc(O)cc1,C12H10BrNO3,27,C4H3BrO
CC(=O)Nc1ccc(O)c(N2NC3C4SC342)c1,CC(=O)Nc1ccc(O)cc1,C11H11N3O2S,28,C3H4N2S
CC(=O)Nc1ccc(OB(O)O)cc1,CC(=O)Nc1ccc(O)cc1,C8H10BNO4,24,H3BO2
BOOc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C8H10BNO4,24,H3BO2
O=C(CC12CC3OC1N32)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C12H12N2O3,29,C4H5NO
CC(=O)Nc1ccc(O)c(N2C(Cl)C2(O)Cl)c1,CC(=O)Nc1ccc(O)cc1,C10H10Cl2N2O3,27,C2H3Cl2NO
CC(=O)N(C1=N[SH]12=C=C2F)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C11H9FN2O2S,26,C3H2FNS
CC(Cl)(Cl)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11Cl2NO2,26,C2H4Cl2
CC(=O)N(c1ccc(O)cc1)[PH2]1OC=COO1,CC(=O)Nc1ccc(O)cc1,C10H12NO5P,29,C2H5O3P
CC(=O)Nc1ccc(O)cc1SNCCC=N,CC(=O)Nc1ccc(O)cc1,C11H15N3O2S,32,C3H8N2S
CC(=O)Nc1ccc(OC2n3n(C=N)n32)cc1,CC(=O)Nc1ccc(O)cc1,C10H11N5O2,28,C2H4N4
CCC(Br)Cc1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C12H16BrNO2,32,C4H9Br
CCN=Cc1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,C11H14N2O2,29,C3H7N
CC(=O)N(c1ccc(O)cc1)C1C2OC13ON23,CC(=O)Nc1ccc(O)cc1,C11H10N2O4,27,C3H3NO2
CC(=O)Nc1ccc(O)cc1C(F)SF,CC(=O)Nc1ccc(O)cc1,C9H9F2NO2S,24,CH2F2S
CC(=O)Nc1ccc(O)cc1C(N)C1N=N1,CC(=O)Nc1ccc(O)cc1,C10H12N4O2,28,C2H5N3
CC(=O)Nc1ccc(O)c(CCCCCl)c1,CC(=O)Nc1ccc(O)cc1,C12H16ClNO2,32,C4H9Cl
CCNC(=O)c1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C11H14N2O3,30,C3H7NO
CC(=O)Nc1ccc(O)cc1N=O,CC(=O)Nc1ccc(O)cc1,C8H8N2O3,21,HNO
CC(=O)Nc1ccc(O)c(O[Na])c1,CC(=O)Nc1ccc(O)cc1,C8H8NNaO3,21,HNaO
CC(=O)Nc1ccc(O)cc1OC(C)O,CC(=O)Nc1ccc(O)cc1,C10H13NO4,28,C2H6O2
CC(=O)Nc1ccc(O)c(OCN)c1,CC(=O)Nc1ccc(O)cc1,C9H12N2O3,26,CH5NO
CC(=O)Nc1ccc(O)c(C2=C(O)C2[O-])c1,CC(=O)Nc1ccc(O)cc1,C11H10NO4-,26,C3H3O2-
CC(=O)Nc1ccc(O[NH+]2CN2)cc1,CC(=O)Nc1ccc(O)cc1,C9H12N3O2+,26,CH5N2+
CC(=O)Nc1ccc(O)cc1-n1oo1,CC(=O)Nc1ccc(O)cc1,C8H8N2O4,22,HNO2
CCC(C)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,C12H17NO2,32,C4H10
CN(CN)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H15N3O2,30,C2H8N2
CC(=O)N(c1ccc(O)cc1)C(F)(F)OC=N,CC(=O)Nc1ccc(O)cc1,C10H10F2N2O3,27,C2H3F2NO
CC(=O)Nc1ccc(O)c(COC=CBr)c1,CC(=O)Nc1ccc(O)cc1,C11H12BrNO3,28,C3H5BrO
O=C1COO[PH2](C(O)O)Oc2ccc(cc2)N1,CC(=O)Nc1ccc(O)cc1,C9H12NO6P,29,CH5O4P
O=C(CC1=[SH2]2CN12)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H12N2O2S,27,C2H5NS
CC(=O)N(c1ccc(O)cc1)C(C)[Si](C)(Cl)Cl,CC(=O)Nc1ccc(O)cc1,C11H15Cl2NO2Si,32,C3H8Cl2Si
CCC(c1cc(NC(C)=O)ccc1O)C(C)Cl,CC(=O)Nc1ccc(O)cc1,C13H18ClNO2,35,C5H11Cl
CC(=O)Nc1ccc(OCC(F)(F)F)cc1,CC(=O)Nc1ccc(O)cc1,C10H10F3NO2,26,C2H3F3
