smiles,molecular_formula,num_atoms
Cc1cn(C)c(N(CCNC(=O)Nc2ccc(Cl)cc2)c2ccccc2Cl)n1,C20H21Cl2N5O,49
CCCCNC(=O)N1CCN(c2cccc3c2nnn3CCCNC(=O)c2ccc(C)cc2F)C1=O,C25H30FN7O3,66
O=c1[nH]c2ccccc2n1CCn1ccc2c3c(sc21)CN(CCOc1ccccc1)CC3,C26H26N4O2S,59
O=C(OC1CCCCC1)c1ccc2nc(N3CCOC3=O)sc2c1,C17H18N2O4S,42
CCC1=CC=C(c2ccc3c(CCC(C)CC)ccc(C(=O)OC)c3c2)C1=O,C25H28O3,56
COc1ccccc1N(C)CCn1c(=O)c2ccc1c(N)n2,C16H18N4O2,40
O=C(CN1CCCC1)NCCN1CCc2nc(C(=O)Nc3ccccc3F)ccc2C1=O,C23H26FN5O3,58
CCOC(=O)C1=C(C(=O)OCCC(C)(C)C)c2ccccc2C1=O,C19H22O5,46
C=Cc1c(F)ccc(Cl)c1O,C8H6ClFO,17
c1ccc(NCC2COc3ccccc3O2)cc1,C15H15NO2,32
COc1cc2ccc1c(=O)n2C(=O)N(CC(C)(C)C)S(=O)(=O)c1ccc(C(F)(F)F)cc1,C21H21F3N2O5S,53
COc1ccc2c(c1)OCCCOC(=O)C(C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-])=C2,C21H16F3NO7,48
Cn1c(Sc2cc3ccccc3nc2OCCOC(=O)Nc2ccccc2)nc2ccccc21,C26H22N4O3S,56
CN(C(=O)Nc1ccc(Br)c(Br)c1)c1nnc(N[N+](=O)[O-])s1,C10H8Br2N6O3S,29
CCN(C)CCN1CCN(C(=O)N(c2cccc3ccc(OC)cc23)C(C)(C)C)CC1,C25H38N4O2,69
O=C(C=NC=Cc1nnc(-c2ccc(Cl)cc2)s1)NC1CC(O)C(O)C1O,C17H17ClN4O4S,40
CCOC(=O)Nc1nc(-c2ccc(Cl)cc2)cs1,C12H11ClN2O2S,29
C=C(C(=O)N(C(=O)c1ccc(S(=O)(=O)OCC)cc1)c1nc2ccccc2s1)C(C)(C)C,C23H24N2O5S2,56
O=C1OC2CC1CN(C(=O)Cc1ccccc1)C2N1CCCC1=O,C18H20N2O4,42
CC(=O)N(CCCCCN1CCCC(F)(F)C1)c1nc2ccc1nc2Sc1nc2ccccc2o1,C25H27F2N5O2S,62
CC1(C)CCN2CC(C(C)(C)C)c3nc(-c4nnc5n4CCCS5)nc2c31,C20H28N6S,55
CN1CCN2CCCN(C2)S(=O)(=O)c2cc(ccc2Br)Nc2cccc(c2)-c2ccc3c(c2)C1=N3,C26H26BrN5O2S,61
N=CC(=O)Nc1cnn(-c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2)c1,C19H15F3N6O2,44
CC1(CCc2ccccc2)CCN(C(=O)c2ccc(C(C)(C)C)cc2)CC1,C25H33NO,60
CC1CCCC1O,C6H12O,17
COc1ccccc1-c1c(OC)c2cc(C(F)(F)F)ccc2n1C,C18H16F3NO2,40
CCN(CCN(c1nc2cc(F)ccc2s1)S(N)(=O)=O)c1cc2ccc1cc2OC,C20H21FN4O3S2,51
CN(C)c1nnc2cc1N2CCc1ccc(-c2cccc(N3CCc4ccc(F)cc43)n2)cc1,C27H25FN6,59
CNC(=O)c1cc(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[nH]c1C,C8H15N2O11P3,38
COc1ccccc1OCCn1c(=O)[nH]c2c1=CC=C(Cl)C=CC=2,C18H17ClN2O3,41
